Node ID,X,Y
0,116.408638,39.988284
1,116.495468,39.909164
2,116.354794,39.964539
3,116.322384,39.923706
4,116.476196,39.841761
5,116.302242,39.908918
6,116.317757,39.858053
7,116.488297,39.88429
8,116.45285,39.923175
9,116.312553,39.830828
10,116.274113,39.895365
11,116.267769,39.956932
12,116.422596,39.857363
13,116.3475,39.861631
14,116.430809,39.854149
15,116.467087,39.933645
16,116.400021,39.851641
17,116.394375,39.85685
18,116.433247,39.940834
19,116.421253,39.875837
20,116.275383,39.883113
21,116.355614,39.922506
22,116.477623,39.89579
23,116.276436,39.924934
24,116.356106,39.929115
25,116.463951,39.893438
26,116.430092,39.968908
27,116.428875,39.949888
28,116.345532,39.889445
29,116.30859,39.923882
30,116.305641,39.897227
31,116.328922,39.844986
32,116.350418,39.877655
33,116.393421,39.982572
34,116.321098,39.867742
35,116.429363,39.890973
36,116.279911,39.889511
37,116.418369,39.95932
38,116.457531,39.914571
39,116.492394,39.915665
40,116.344765,39.897965
41,116.372147,39.911596
42,116.343864,39.929838
43,116.459992,39.914627
44,116.400566,39.85583
45,116.310268,39.895218
46,116.32547,39.907504
47,116.406342,39.922391
48,116.448654,39.903641
49,116.477711,39.903778
50,116.310719,39.908997
51,116.280685,39.870387
52,116.313747,39.983391
53,116.303783,39.985174
54,116.322929,39.960256
55,116.340076,39.868045
56,116.433746,39.936661
57,116.489239,39.908707
58,116.337341,39.925613
59,116.399838,39.865392
60,116.299797,39.985369
61,116.406517,39.930051
62,116.384827,39.889399
63,116.318699,39.855682
64,116.374519,39.902115
65,116.336083,39.826848
66,116.391396,39.914808
67,116.369843,39.980367
68,116.269772,39.889605
69,116.407681,39.975441
70,116.437901,39.858747
71,116.401779,39.832865
72,116.274799,39.961416
73,116.357307,39.940585
74,116.485489,39.870962
75,116.28289,39.855873
76,116.350975,39.923597
77,116.313786,39.88766
78,116.475357,39.871223
79,116.416405,39.949468
80,116.359146,39.835129
81,116.384037,39.889504
82,116.305939,39.984919
83,116.488575,39.867188
84,116.387512,39.985237
85,116.386581,39.832036
86,116.356026,39.987195
87,116.34573,39.838554
88,116.34573,39.835287
89,116.332523,39.897029
90,116.458645,39.866389
91,116.288429,39.934909
92,116.288906,39.862844
93,116.356213,39.922666
94,116.299175,39.891187
95,116.441505,39.884463
96,116.347721,39.889529
97,116.443417,39.89489
98,116.310947,39.982493
99,116.495964,39.915754
100,116.447578,39.908257
101,116.293343,39.889557
102,116.461895,39.918915
103,116.4343,39.881264
104,116.363442,39.946042
105,116.452564,39.868968
106,116.442226,39.924116
107,116.372265,39.914523
108,116.417374,39.929288
109,116.457535,39.914721
110,116.472248,39.874293
111,116.282906,39.867775
112,116.275276,39.88224
113,116.474941,39.968102
114,116.463932,39.976293
115,116.443817,39.936475
116,116.322235,39.963776
117,116.375977,39.845085
118,116.374554,39.898209
119,116.453968,39.948064
120,116.468613,39.948649
121,116.295948,39.958224
122,116.282257,39.973895
123,116.474224,39.908073
124,116.311993,39.896955
125,116.348217,39.88959
126,116.373764,39.914604
