Node ID,X,Y
0,121.531789,31.300807
1,121.457954,31.267865
2,121.421834,31.284741
3,121.549066,31.245043
4,121.529029,31.223608
5,121.494843,31.159014
6,121.492672,31.257188
7,121.492112,31.269251
8,121.533058,31.169485
9,121.411269,31.141293
10,121.43381,31.188975
11,121.375056,31.22099
12,121.460172,31.155565
13,121.413721,31.220226
14,121.505465,31.217252
15,121.466879,31.267866
16,121.483985,31.263719
17,121.502411,31.211724
18,121.455418,31.223941
19,121.529507,31.226764
20,121.38843,31.194712
21,121.398032,31.19629
22,121.460269,31.220762
23,121.505437,31.189907
24,121.473215,31.20848
25,121.54229,31.276201
26,121.550207,31.276843
27,121.575506,31.23856
28,121.473142,31.225808
29,121.433602,31.212919
30,121.474237,31.168024
31,121.566281,31.175171
32,121.427753,31.295775
33,121.582644,31.168076
34,121.420939,31.149332
35,121.527586,31.269362
36,121.536332,31.237521
37,121.559879,31.236514
38,121.509111,31.235412
39,121.445165,31.222697
40,121.478734,31.215762
41,121.471829,31.286323
42,121.531895,31.162006
43,121.428189,31.185782
44,121.514838,31.269977
45,121.518602,31.260837
46,121.555106,31.287102
47,121.38397,31.196755
48,121.4695,31.223781
49,121.410918,31.217261
50,121.568273,31.163898
51,121.451764,31.139348
52,121.539689,31.282368
53,121.524977,31.168738
54,121.516109,31.205008
55,121.500792,31.207889
56,121.413775,31.233758
57,121.467816,31.265341
58,121.490269,31.211203
59,121.498789,31.177743
60,121.472023,31.223014
61,121.559535,31.222536
62,121.453302,31.258839
63,121.471226,31.228644
64,121.445891,31.19106
65,121.422356,31.288498
66,121.594631,31.246638
67,121.409909,31.196878
68,121.467101,31.230772
69,121.505274,31.155039
70,121.553684,31.238813
71,121.492237,31.229389
72,121.579147,31.239215
73,121.518798,31.21568
74,121.596765,31.210548
75,121.608837,31.176188
76,121.475741,31.212083
77,121.525265,31.225424
78,121.436826,31.190518
79,121.430849,31.25802
80,121.475677,31.170103
81,121.47835,31.226086
82,121.541106,31.258626
83,121.526465,31.199592
84,121.453977,31.25901
85,121.544964,31.299941
86,121.579182,31.188738
87,121.431318,31.189641
88,121.498195,31.211092
89,121.476123,31.145797
90,121.507933,31.215009
91,121.530635,31.225899
92,121.549454,31.225329
93,121.537575,31.225876
94,121.421195,31.189275
95,121.474805,31.241735
96,121.462804,31.24153
97,121.550867,31.290294
98,121.377082,31.210758
99,121.471412,31.20003
100,121.533702,31.1876
101,121.40541,31.196367
102,121.3968,31.187959
103,121.450572,31.245467
104,121.470426,31.191419
105,121.517271,31.224429
106,121.428348,31.146705
107,121.423425,31.288199
108,121.454654,31.183578
109,121.401216,31.287056
110,121.399795,31.278797
111,121.473319,31.255904
112,121.573408,31.213505
113,121.52901,31.281346
114,121.483949,31.183796
115,121.450348,31.225328
116,121.583561,31.248259
117,121.558525,31.203784
118,121.472242,31.222394
119,121.449824,31.258082
120,121.588253,31.256576
121,121.497519,31.236775
122,121.557652,31.174794
123,121.428301,31.256181
124,121.463176,31.245252
125,121.507062,31.217521
126,121.561853,31.242028
127,121.568157,31.188834
128,121.516265,31.227144
129,121.439913,31.242072
130,121.41224,31.226672
131,121.57088,31.237884
132,121.452157,31.153512
133,121.455017,31.190721
134,121.546867,31.221425
135,121.453817,31.169945
136,121.477807,31.264837
137,121.512866,31.29453
138,121.562214,31.210731
139,121.397463,31.171434
140,121.513178,31.180256
141,121.474423,31.290199
142,121.583993,31.16819
143,121.466875,31.230489
144,121.429323,31.211235
145,121.394541,31.270984
146,121.39524,31.178705
147,121.597524,31.172564
148,121.594647,31.203172
149,121.531616,31.207803
150,121.403497,31.238537
151,121.520527,31.268846
152,121.386775,31.197665
153,121.479696,31.263042
154,121.458795,31.260167
155,121.509253,31.196244
156,121.461098,31.274592
157,121.445389,31.181204
158,121.461629,31.230391
159,121.414101,31.288017
160,121.407363,31.200723
161,121.428024,31.285648
162,121.472599,31.226718
163,121.454548,31.177238
164,121.523808,31.270733
165,121.56845,31.163451
166,121.524048,31.281163
