Link ID,From Node,To Node,LENGTH,ID,POSSPEED,ROADWIDTH,FC,DIR,PYNAME
1552,999,8915,0.218926,74203,40,8,7,0,YAN YANG LU
1553,999,9998,0.203616,65721,60,17,5,0,YANG GAO NAN LU
1554,1000,7053,0.006331,18588,40,4,6,0,None
1555,1001,1141,0.304124,14079,30,6,7,0,SHUN YI LU
1556,1002,4425,0.206127,12975,60,8,7,0,SHI MEN 2 LU
1557,1002,1924,0.007723,17695,50,12,7,0,None
1558,1003,9795,0.13187,19243,40,8,7,0,HAN KOU LU
1559,1003,747,0.083178,17518,30,6,7,0,GUANG XI BEI LU
1560,1004,8229,0.10101,74343,40,12,7,0,RU SHAN LU
1561,1005,3952,0.460737,10590,40,8,7,0,MEI CHUAN LU
1562,1006,4971,0.315007,54375,30,6,7,0,None
1563,1006,567,0.149246,54601,40,8,7,0,HONG MEI LU
1564,1007,8864,0.008777,69126,40,8,7,0,None
1565,1007,425,0.252113,69127,60,9,5,0,HU NAN LU
1566,1008,10900,0.011371,13008,40,8,7,0,XI KANG LU
1567,1008,3159,0.016325,13010,50,8,7,0,CHANG PING LU
1568,1009,3120,0.009798,65644,50,13,6,0,None
1569,1009,100,0.601589,65666,50,9,5,0,GAO KE XI LU
1570,1010,735,0.268072,72847,30,6,7,0,ZHEN ZHONG XIN LU
1571,1010,1295,0.584935,78144,30,4,7,0,None
1572,1012,580,0.115168,7045,40,10,7,0,ZHOU SHAN LU
1573,1012,4223,0.21016,6933,40,8,7,0,YUE ZHOU LU
1574,1013,657,0.584133,17168,50,8,6,0,LAO HU MIN LU
1575,1013,7373,0.508773,14895,40,4,6,0,GUI LIN NAN LU FU LU
1576,1014,3156,0.124641,19498,40,16,7,0,MEI YUAN LU
1577,1015,9722,0.028854,86656,70,12,1,0,JI YANG LU
1578,1015,4614,0.012098,86660,30,4,7,0,None
1579,1016,2208,0.155572,15404,60,8,6,0,CAO BAO LU
1580,1016,8031,0.008728,15403,60,-1,6,0,None
1581,1017,7798,0.008877,17462,50,4,7,0,None
1582,1017,4655,0.094631,14521,50,8,7,0,JIN LING XI LU
1583,1018,5565,0.229149,78157,30,3,7,0,None
1584,1018,10437,0.146914,75783,40,8,7,0,NAN QUAN LU
1585,1019,11385,0.22297,7225,40,8,7,0,WU JIN LU
1586,1019,1780,0.067222,7226,30,6,7,0,LUO FU LU
1587,1020,1024,0.203605,19737,60,8,6,0,XI ZANG BEI LU
1588,1020,9553,0.205481,23326,40,4,7,0,None
1589,1022,7401,0.213883,8067,30,4,7,0,WU CHANG LU
1590,1022,8162,0.015443,8984,40,8,7,0,SI CHUAN BEI LU
1591,1023,8980,0.312205,4687,70,8,6,0,None
1592,1024,9553,0.007418,19736,60,12,6,0,HAI NING LU
1593,1024,1849,0.013206,17602,60,8,6,0,None
1594,1025,4609,0.321294,8697,30,6,7,0,GUO KE LU
1595,1025,6460,0.17132,6770,40,8,7,0,ZHENG BEN LU
1596,1026,8508,0.339471,76444,60,16,5,0,YANG GAO ZHONG LU
1597,1026,3127,0.012511,66264,40,10,6,0,None
1598,1027,4942,0.011721,18558,40,8,6,0,None
