Link ID,From Node,To Node,LENGTH,KIND,WIDTH,DIRECTION,ONEWAY,PATHPY
10693,6726,9848,0.340572,601,30,1,None,cui hua hu tong
10694,6726,10413,0.403394,601,30,3,T,dong huang cheng gen nan jie
10695,6727,10806,0.176615,102,130,3,T,si huan
10696,6728,454,0.01889,602,55,2,F,jiao dao kou dong da jie
10697,6729,9482,0.106166,602,30,3,T,dong zhi men nan xiao jie
10698,6730,1073,0.107879,301,55,2,F,bei san huan zhong lu fu lu
10699,6731,10171,0.029979,601,55,1,None,en ji xi jie
10700,6732,4064,0.074367,601,30,3,T,nan yuan lu
10701,6732,4278,0.239344,601,55,1,None,None
10702,6733,2915,0.02361,301,30,2,F,guo mao qiao
10703,6734,9400,0.158178,601,55,1,None,lang jia yuan dong lu
10704,6734,10540,0.189823,601,55,1,None,None
10705,6735,3627,0.070549,301,30,2,F,jian xiang qiao
10706,6735,491,0.275057,301,55,3,T,jian xiang qiao
10707,6736,8616,0.537565,601,55,1,None,xi wu dao kou
10708,6736,2276,0.583651,601,30,3,T,zhi chun lu
10709,6737,8410,0.120448,301,30,2,F,wan quan he qiao
10710,6738,4151,0.187848,602,55,3,T,guang hua lu
10711,6739,1357,0.097348,301,55,2,F,fu xing men nan da jie
10712,6740,6812,0.029425,301,130,3,T,xi zhi men bei da jie
10713,6740,9582,0.035961,304,55,1,None,None
10714,6741,4002,0.069769,601,30,3,T,None
10715,6742,10000,0.083288,601,55,1,None,None
10716,6742,437,0.095488,301,55,2,F,jing kai lu
10717,6743,639,0.199911,601,55,0,None,mei li yuan lu
10718,6744,5880,0.501042,102,130,2,F,si huan
10719,6745,7993,0.239822,602,55,2,F,xing fu da jie
10720,6745,8245,0.175753,601,30,3,T,guang ming lu
10721,6746,6959,0.120775,601,30,2,F,fu cheng lu
10722,6747,8229,0.149246,102,55,3,T,xi tu cheng lu
10723,6749,6363,0.113891,102,55,3,T,san huan
10724,6750,9233,0.241134,601,55,0,None,wei ying hu tong
10725,6751,7071,0.202269,301,55,3,T,xi san huan nan lu fu lu
10726,6752,10421,0.668267,3,30,2,F,jing kai gao su gong lu
10727,6752,3703,0.065167,102,130,3,T,san huan
10728,6753,1579,0.366536,402,55,3,T,che gong zhuang xi lu
10729,6753,6348,0.043594,304,130,2,F,None
10730,6753,2479,0.013546,304,130,3,T,None
10731,6754,5672,0.079857,602,55,2,F,jin bao jie
10732,6754,8665,0.009666,604,55,2,F,None
10733,6754,10060,0.010431,604,55,3,T,None
10734,6755,3108,0.004276,602,55,3,T,None
10735,6756,6315,0.060983,105,55,3,T,san huan
10736,6756,9860,0.06863,102,55,2,F,san huan
10737,6757,10762,0.017579,401,30,2,F,None
10738,6757,2279,0.140599,601,30,2,F,cai shi kou da jie
10739,6758,8117,0.061283,301,55,2,F,nan san huan dong lu fu lu
10740,6759,10418,0.147107,602,55,3,T,san li he dong lu
10741,6759,2349,0.640895,602,55,2,F,san li he dong lu
10742,6759,1022,0.014375,604,130,1,None,None
10743,6760,6385,0.441765,402,55,2,F,hua yuan dong lu
10744,6760,4367,0.016318,404,55,2,F,None
10745,6761,10707,0.24274,301,30,3,T,an hua qiao
10746,6762,4596,0.272482,601,55,1,None,dong guan tou jie
10747,6763,7447,0.575899,102,55,3,T,san huan
